kind | name | file_path
--------------------
file | page.tsx | src/app/[locale]/albums/detail/page.tsx
import | react | src/app/[locale]/albums/detail/page.tsx
import | next/navigation | src/app/[locale]/albums/detail/page.tsx
import | @/components/templates/AlbumDetailClient | src/app/[locale]/albums/detail/page.tsx
import | @/lib/api | src/app/[locale]/albums/detail/page.tsx
function | AlbumDetailStaticPage | src/app/[locale]/albums/detail/page.tsx
file | page.tsx | src/app/[locale]/albums/page.tsx
import | react | src/app/[locale]/albums/page.tsx
import | @/lib/api | src/app/[locale]/albums/page.tsx
import | ./AlbumsClient | src/app/[locale]/albums/page.tsx
constant | revalidate | src/app/[locale]/albums/page.tsx
function | AlbumsPage | src/app/[locale]/albums/page.tsx
file | layout.tsx | src/app/[locale]/layout.tsx
import | next-intl | src/app/[locale]/layout.tsx
import | next-intl/server | src/app/[locale]/layout.tsx
import | @/components/molecules/PlayerBar | src/app/[locale]/layout.tsx
import | @/components/molecules/Navigation/BottomTabBar | src/app/[locale]/layout.tsx
function | generateStaticParams | src/app/[locale]/layout.tsx
function | LocaleLayout | src/app/[locale]/layout.tsx
file | loading.tsx | src/app/[locale]/loading.tsx
import | @/components/atoms/AlbumSkeleton | src/app/[locale]/loading.tsx
import | @/components/atoms/TrackSkeleton | src/app/[locale]/loading.tsx
function | Loading | src/app/[locale]/loading.tsx
file | page.tsx | src/app/[locale]/music/page.tsx
import | react | src/app/[locale]/music/page.tsx
import | @/components/molecules/Downloader/Downloader | src/app/[locale]/music/page.tsx
import | lucide-react | src/app/[locale]/music/page.tsx
import | @/hooks/useGoogleDrive | src/app/[locale]/music/page.tsx
import | @/components/google-drive/DrivePicker | src/app/[locale]/music/page.tsx
import | @/lib/api | src/app/[locale]/music/page.tsx
function | MusicPage | src/app/[locale]/music/page.tsx
file | page.tsx | src/app/[locale]/page.tsx
import | react | src/app/[locale]/page.tsx
import | @/lib/api | src/app/[locale]/page.tsx
import | ./HomePageClient | src/app/[locale]/page.tsx
constant | revalidate | src/app/[locale]/page.tsx
function | HomePage | src/app/[locale]/page.tsx
file | AlbumSkeleton.tsx | src/components/atoms/AlbumSkeleton.tsx
import | @/components/atoms/ui/skeleton | src/components/atoms/AlbumSkeleton.tsx
import | @/components/atoms/ui/card | src/components/atoms/AlbumSkeleton.tsx
function | AlbumSkeleton | src/components/atoms/AlbumSkeleton.tsx
file | TrackSkeleton.tsx | src/components/atoms/TrackSkeleton.tsx
import | @/components/atoms/ui/skeleton | src/components/atoms/TrackSkeleton.tsx
function | TrackSkeleton | src/components/atoms/TrackSkeleton.tsx
file | button.tsx | src/components/atoms/ui/button.tsx
import | @base-ui/react/button | src/components/atoms/ui/button.tsx
import | class-variance-authority | src/components/atoms/ui/button.tsx
import | @/lib/utils | src/components/atoms/ui/button.tsx
constant | buttonVariants | src/components/atoms/ui/button.tsx
function | Button | src/components/atoms/ui/button.tsx
file | card.tsx | src/components/atoms/ui/card.tsx
import | react | src/components/atoms/ui/card.tsx
import | @/lib/utils | src/components/atoms/ui/card.tsx
function | Card | src/components/atoms/ui/card.tsx
function | CardHeader | src/components/atoms/ui/card.tsx
function | CardTitle | src/components/atoms/ui/card.tsx
function | CardDescription | src/components/atoms/ui/card.tsx
function | CardAction | src/components/atoms/ui/card.tsx
function | CardContent | src/components/atoms/ui/card.tsx
function | CardFooter | src/components/atoms/ui/card.tsx
file | input.tsx | src/components/atoms/ui/input.tsx
import | react | src/components/atoms/ui/input.tsx
import | @/lib/utils | src/components/atoms/ui/input.tsx
interface | InputProps | src/components/atoms/ui/input.tsx
constant | Input | src/components/atoms/ui/input.tsx
file | skeleton.tsx | src/components/atoms/ui/skeleton.tsx
import | @/lib/utils | src/components/atoms/ui/skeleton.tsx
function | Skeleton | src/components/atoms/ui/skeleton.tsx
file | DrivePicker.tsx | src/components/google-drive/DrivePicker.tsx
import | react | src/components/google-drive/DrivePicker.tsx
import | framer-motion | src/components/google-drive/DrivePicker.tsx
import | lucide-react | src/components/google-drive/DrivePicker.tsx
import | @/lib/utils | src/components/google-drive/DrivePicker.tsx
import | @/hooks/useGoogleDrive | src/components/google-drive/DrivePicker.tsx
import | @/lib/api | src/components/google-drive/DrivePicker.tsx
interface | DrivePickerProps | src/components/google-drive/DrivePicker.tsx
function | DrivePicker | src/components/google-drive/DrivePicker.tsx
file | AddToPlaylistDialog.tsx | src/components/molecules/AddToPlaylist/AddToPlaylistDialog.tsx
import | react | src/components/molecules/AddToPlaylist/AddToPlaylistDialog.tsx
import | framer-motion | src/components/molecules/AddToPlaylist/AddToPlaylistDialog.tsx
import | lucide-react | src/components/molecules/AddToPlaylist/AddToPlaylistDialog.tsx
import | @/lib/utils | src/components/molecules/AddToPlaylist/AddToPlaylistDialog.tsx
interface | AddToPlaylistDialogProps | src/components/molecules/AddToPlaylist/AddToPlaylistDialog.tsx
constant | DEMO_PLAYLISTS | src/components/molecules/AddToPlaylist/AddToPlaylistDialog.tsx
function | AddToPlaylistDialog | src/components/molecules/AddToPlaylist/AddToPlaylistDialog.tsx
file | Downloader.tsx | src/components/molecules/Downloader/Downloader.tsx
import | react | src/components/molecules/Downloader/Downloader.tsx
import | next-intl | src/components/molecules/Downloader/Downloader.tsx
import | @/components/atoms/ui/button | src/components/molecules/Downloader/Downloader.tsx
import | @/components/atoms/ui/input | src/components/molecules/Downloader/Downloader.tsx
import | lucide-react | src/components/molecules/Downloader/Downloader.tsx
import | @/lib/api | src/components/molecules/Downloader/Downloader.tsx
import | @/lib/supabase | src/components/molecules/Downloader/Downloader.tsx
import | framer-motion | src/components/molecules/Downloader/Downloader.tsx
import | @/store/useAlbumStore | src/components/molecules/Downloader/Downloader.tsx
interface | DownloaderProps | src/components/molecules/Downloader/Downloader.tsx
function | Downloader | src/components/molecules/Downloader/Downloader.tsx
file | Library.tsx | src/components/molecules/Library/Library.tsx
import | react | src/components/molecules/Library/Library.tsx
import | next-intl | src/components/molecules/Library/Library.tsx
